Metin;Durum
fiyatına göre ürün;2
Ömrümde gördüğüm en berbat makine;0
Beğenmedim.;0
Ürünü kullandim,sıfır kesimi icin ideal 1,2,3 mm lik taraklari mevcut, tarak sayisi fazla olsa iyi olurdu.Daha çok sakal ve ense trasi için iyi,ama yine de fiyatina göre güzel.Usb kablosu ile şarj olmasi çok güzel bir ayrinti.;2
Kaliteli bir ürün bence ama tek sıkıntısı Çin malı olması;2
Hem sessiz hem kaliteli ayrıca hemen geldi tşk;1
Ürün gerçekten çok güzel tavsiye ederim;1
Ürün kaliteli beğendim çalışıyor testte ettim ??;1
guzel kaliteli ürün;1
Mükemmel bir cihaz.;1
Başarılı bir ürün;1
Kaliteli beğendim;1
Başarılı bir ürün...;1
Güzel kaliteli;1
Hemen bozuldu;0
5 para etmez;0
Kesinlikle hak ettiğinden fazlasını hak ediyor;1
Berberim beni sürekli bu makine ile traş ediyor. Bende onun tavsiyesi İle aldım, fiyatına göre iyi bir makine ben memnun kaldım..;1
Ürünün fiyatı çok uygun tertemiz paketlenmiş kısa zamanda elime ulaştı bayağı kaliteli vede kullanışlı;1
Ürünün en uygun fiyatı burda ve fiyatına göre bir çok markanın üstünde bir performansa sahip. Ayrıca çok hızlı kargoya verildi. Emeklerine sağlık.Teşekkür ederim.;1
Ürün hem kaliteli hemde kullanışlı ilğilenenlere tavsiye ederim.;1
mükemmel bir makina tavsiye ederim;1
gayet güzel kullanışlı.;1
Basarili bir urun;1
mükemmel süper ??????;1
fiyatına göre harika bir ürün sakal tıraşı için çok iyi kısa kesim isteyenler için uygun bir ürün,bir puan kirmamin nedeni tarakları daha fazla olabirdi;2
ürün 1 haftada elime geçti oldukça kaliteli bir ürün fiyatına göre tasarımı çok şık tavsiye ederim ama sakal tıraşı için uygun bir ürün teşekkürler;1
ürün çok güzel fiyatı da uygun sakal hiç kesmedim saç kestim güzel kesiyo kaliteli ürün tarak sayısı fazla olsaymış iyiymiş;2
Aldığım fiyata göre cok iyi coğu kuaförlerde kullanıyor mennunum;1
Ürünün fiyatı gördüğüm en uygun ve en kaliteli ürün;1
ürünü babama aldım çok beğendi tam bir fiyat performans ürünü 2 günde elime ulaştı teşekkürler;1
çok güzel bir ürün çok beğendim fiyatida bayağı bir uygun teşekkür ederim;1
Fiyat performans açısından güzel bir ürün;1
Kaliteli bir ürün;1
Sabah teslim aldım, az önce deneme fırsatım oldu. Mükemmel bir ürün hafif, ergonomik, güçlü. Hem saç hem sakal için kullandım. Yıllardır kendi tıraşımı kendim yaparım bu aleti kullandıktan sonra şimdiye kadar vantilatörle tıraş oluyormuşum gibi hissettim.;1
Bu zorlu günlerde bizi resmen kuaför derdinden kurtardı eşimin kuaförü malum dükkanını açamadığı için hangi makineyi önerirsin demiş emiş kuaför tavsiye si ile aldık cok memnun kaldık??;1
tam bir profesyonel makine kuaför arkadaşım aynısını kullanıyor günde kaç defa çalıştığını siz düşünün aynısını 1 yıldır kullanıyorum babam da istedi o yüzden aldım kaliteli ve şarjı çok uzun gidiyor her hafta kullanıyorum 4 hafta da bir dolum gerekiyor;1
Gayet kaliteli bir ürün. Çok fazla sesli değil. Ev tipi kullanım için ideal. Tavsiye ederim.;1
bu fiyata alınabilcek baska urun yok...;1
ürün çok kısa sürede geldi fiyatına göre gayet iyi;1
Çok güçlü kesimi var....;1
Güzel Fiyat, Güzel Ürün;1
Ürünü indirimdeyken aldım, Gayette memnun kaldım. Ürün oldukça hızlı ve sağlam olarak elime ulaştı. Boyutu biraz küçük olmadına karşın şarjı çok başarılı.Eğer Bu fiyat Civarlarında Bakıyorsanız Düşünmeden Almanızı Tavsiye Ediyorum.;1
Babama aldım bayıldı, saç ve sakal için ideal bi tıraş makinesi ancak başlık sayısı az olduğu için şekilli şüküllü sakal tıraşı olamıyorsunuz;1
Mükemmel çizim, ense ve yan saçları almakda kusursuz.Saticida paket ve hız konusunda süper emeği geçenlere çok teşekkür ederim. Alacak arkadaşlar tereddüt etmesin zaten ürün bilindik ve ismini kanıtlamış bir marka ki öle olmasa zaten kuaförler kullanmaz saygılar.;1
Hızlı gönderi için teşekkürler. 2 günde ulastı. Cihazı denedikten sonra ayrica yorum yapacagim. Sipariste gorunen cihazin aynisi geldi. Cihaz beklentilerimi karsiladi. Tereddutsuz alabilirsiniz. Kuzey Pazarlama tesekkur ederim.;1
11 mayısı beklemeden traş oldum. Mükemmel birşey İnanın okadat para vermeye gerek yok. Çok makul ve güzel makina yanlız tarakları eksik;2
Piyasadaki adı belli markalara taş çıkartır. Sıfır kesme olayına gelince, jiletle traşın ertesi günü 1 günlük sakal uzunluğunda kesiyor. Telefon şarzınızla, powerbangnizle bile şarz edebilirsiniz.;1
İyi makine tavsiye ederim, ilk kullandığımda bir tık uzun kullandım ve biraz ısındı cihaz bu da normaldir diye düşünüyorum henüz şarjını test edemedim ama uzun süre iyi çalıştı.Gayet sıfıra yakın alıyor ve ucu hiç takışmıyor akıyor.Ürünle birlikte 3 tane başlık 1-2-3mm şarj cihazı yağı geliyor;2
guzel makina. ayrıca sıfır ayarı için youtube de videosu var. kesme yerindeki cıvataları söküp arkasında ince ayar yapmak için 2 küçük vida var. onlarla sıfır ayar yapılabiliyor. makina kaliteli. berber tavsiyesiyle aldım.;1
4 iş günü içerisinde elime ulaştı ki bu da korona virüsle uğraştığımız şu günlerde hızlı sayılır. Sadece paketleme biraz daha dikkat edebilirlerdi ama hız ve ucuzluk on numara tebrik ederim.;1
Ürün Wahl markasının T cut makinesinin birebiri bu ürün saç kesmek için değil ense sakal çizimleri için kullanılıyor ve fiyatına göre en kaliteli makine ayrıca kuzey pazarlamanın tüm ürünlerine sorunsuz güvenebilirsiniz;1
Kimseyi goz onunde bulundurmadan bu yorumu okuyun. Fircasi,3 başlığı,yağı temiz makine jelatinde geliyor istiflenlesi güzel yanak ve ense alımı güzel berberde kullandigim bi urun gonul rahatligiyla alinn pisman olmazsiniz ????;1
3 gün gibi kısa bir sürede böyle güzel bir ürünü elime ulaştırdığı için satıcı firma ve kargo şirketine çok teşekkür ederim.;1
Çok beğendim, çekincem sakalı uzun bırakmasiydi ama sıfıra yakın kesiyor , satıcıya ve aracıya teşekkürler;1
ürun a kalite bır ürun gercekten sert sakalı bile kesiyor bu parayı hak edıyor yok yere pahalı bır markaya para vermeyın derım teşekkurler paketleme guzel fakat kargoda hırpalanmis ama saglam geldı;1
bir günde elime ulaştı denedim iyi kesiyor fiyatına göre yeterli ama çokta profesyonel değil normal kullanım için iyi;2
Ürün çok çok ii sıfır jilet gibi sıfır kesiyor zaten berberimde gorup aynısını almaya karar verdim terreddütünüz olmasın ve en uygun fiyatı olanı bu modelde;1
Ürün çok kaliteli tabi satıcıda öyle... On numara beş yıldız. Hemen traşa başladım. Herkese iyi traşlar!;1
Ürünü eşime hediye için aldım çok memnun kaldı çok beğendi ?? kullanımı pratik boy boy taraklarının olması diğer ürünlere göre daha kullanışlı ???? tavsiye ederim hiç tereddütsüz alabilirler ??;1
5 gunde teslim aldim bugun kullandim cok iyiydi ağzı bakalim ne kadar sure bu kalitede kesecek merak ediyorum. ilk kullanim tatminkar .;1
Ürün kutusuyla çok güzel bir şekilde geldi çalışması ve kalitesi çok iyi teşekkürler;1
daha once kendim kullandigim icin biliyorum urun harika sakal cizimi mukemmel saclari da iyi aliyor;1
Fiyata göre cok güzel tavsiye edilebilir;1
ürün gayet guzel fiyatına göre iyi bir makine;1
fiyatına göre güzel bir ürün;1
Ürün 2 gün içerisinde bana ulaştı. Görseldekk gibi geliyor. Kutudan 3 adet tarak, traş makinesi, şarj kablosu ve yuvası, temizleme yağı çıktı. Cihaz çalışıyor sağlam ve sorunsuz teslim aldım. Kullanım esnasında da sorun yaşamam diye düşünüyorum.;1
Ürün marka değeri ne göre hiç fena sayılmaz, teslimat la ilgili ise gayet makul bir süre de elime geçti. Trend Yol'u herkese tavsiye ederim..;1
Ürün güzel ancak faturayı neden yollamazlar anlamış değilim. kesimi on numara çok iyi tavsiye ederim almak isteyenlere;1
Öncelikle ptt kargo çok yavaş ,gidip kendim aldım. Daha öncede başka siparişimi getirmemişlerdi. Kargodan bir yıldız kırdım. Ürüne gelecek olursak ilk kullanım olarak beğendim. Sakalımı sıfır yapmasada sıfıra yakın hafif kirli bıraktı.Perfomansı yeterli beğendim. Ürünü şarjı bitse dahi prize takıp kullanabiliyorsunuz. Bu yüzden tercih etmiştim. Ayrıca makinanın ekstradan mikro usb girişide var. Yani telefon şarj aletiyle dahi şarj edilebilir. İlk kullanım iyiydi. Daha sonraki kullanımlarıma göre yorumu güncellerim. Şimdilik bu kadar.;2
ürün çok güzel hızlı kargo sadece tek bir sorunu var arkadaşlar makina biraz sert davranıyor cilde tahriş ediyor haberiniz olsun;0
Kuaför arkadaşımın tavsiyesi ile aldım sakalı kesmek için güçlü motorlu gayet güzel;1
Ürün kalitesi güzel. Kargoya verilmesi ve ulaşması çabuk oldu.????;1
Çok fazla iyi kesiyor kişisel bakım için biraz fazla güçlü gelebilir.;1
hızlı teslimat süresi mükemmel kalite ürün ben memnun kaldım herkese tavsiye ediyorum.;1
merhaba ürünü berberimde görmüştüm çok güzel begenerek aldım tşk ederim ??;1
Ürün tam istediğim gibiydi şuan kullanıyorum gayet memnunum.;1
Çok kaliteli makina 2 tane aldım indirimdeyken;1
bugünlerde yoğunluğa rağmen çok hızlı geldi teprikler;1
Fiyatına göre gayet uygun makineyi 2 kişi kullanıyoruz. Temiz bakarsanız uzun ömürlü olur.;1
kaliteli ve zarif bir ürün tavsiye ediyorum kesim sıfıra çok yakın;1
Bu fiyata alınabilecek gayet güzel bir ürün. Tavsiye ederim.;1
Urun tam ıstedıgım gıbı 1 gunde elime ulastı cok tsk ederım.;1
Ürünü sıkıntısız teslim aldım gayet güzel tavsiye ederim teşekkürler Trendyol;1
Üründen gayet memnun kaldım lakin sadece 0 kesmesi kullanış açısından fazla işime yaramadı;2
yorumları inceledim satin aldım harika bir ürün tavsiye ederim özenli paketlenmiş teşekkürler;1
4 günde elime ulaştı.gayet iyi performansı var sakal ve saçta;1
harika bi ürün tavsiye ediyorum küçük elde kullanımı kolay tutuşu 3 başlığı var;1
ürün kalitesi cidden güzel kargo deseniz verildikten 1 gün sonra geldi.;1
Bence iyi ürün bir numara elime çok kısa bir zaman da ulaştı Bence herkesin almasını tavsiye ederim;1
Gerçekten verilen parayi sonuna kadar hakedecek bir ürün herkeze tavsiye ederim.;1
ben berber oldugum için herkese tavsiye ederim çok güzell;1
kargo başarılı ürün ilk kullanimi güzel dayaniklilik zamanla belli olacak;1
Saç ve sakal için en uygun ürün. Powertec in başka bir ürününü zaten kullanıyorum. Tavsiye ederim.;1
gelirgelmez kullandım. ürün harika. mutlaka alın derim;1
Kargo berbat bir Philips gibi bir makinanın yerini asla tutmaz ama parasına göre iyi;0
ürünü daha önce kullandım çok memnun kaldım. Tekrar aldım ve herkese tavsiye ederim;1
Ürün göründüğü gibi geldi çok güzel tavsiye ederim ben memnun kaldım;1
Çok başarılı bir ürün bu kadarını beklemiyordum gayet iyi tavsiye ederim.;1
Beklentim karşıladı. Güzel ürün tek eksiği başlıklarının az olması;1
Mükemmel bir makına herkese tavsiye ediyorum;1
Ürün çok çok iyi, teredütte felan kalmıştım ama harbiden on numara makine;1
çok iyi bir ürün kesinlikle alın;1
urunu teslım aldık gercekten güzel makına;1
ürün guzel beyendik tavsiye ederim;1
fiyatına göre gayet güzel beğendik;1
çok güzel tam istediğim gibi;1
çok güzel urun;1
Ürünü babama aldım sanırım beğendi;1
Ürün çok iyi tavsiye ederim;1
çok memnunuz teşekkürler;1
beğendim alan memnun olur;1
Kuaförler için mükemmel ürün tavsiye ederim;1
"on numara bayıldım ;)";1
Ürün 0a yakın alıyor ancak benim tenimi çok tahriş etti. Sakalımın 0la aldığım bölgesi neredeyse morardı diyebilirim. Herhangi bir ısınma problemi yaşamadım. Ürünün en büyük sorunu tarakları plastik ve kolay kırılabilir olması. 0ı hariç kullanırım ürünü fena değil.;0
Ne çok mükemmel nede kötü yani işinizi görür sıkıntı yok rahatlıkla alın.;2
ürün gerçekten güzel ama faturasız geldi buna anlam veremedim kimseyle irtibata geçemedim;2
Kaliteli ürün kullanımı rahat ve güçlü makine.;1
çok güzel ürün hızlı teslimat;1
ürün mükemmel sarz süreside uzun;1
gerçekten sağlam firmasınız helal olsun;1
Çok güzel bi ürün memnun kaldık tavsiye edrim;1
efsane bir urun ben aldim sizede tavsiye ederim;1
kullanışlı ürün tavsiye ederim;1
Mükemmel fiyatına göre;1
10 numara emeginize saglik trentyol tesekurler;1
arkadaşlar cok kötü;0
ürün hemen elime ulaştı oldukça iyi ve güzel;1
Beğendim kaliteli duruyor;1
çok kullanışlı bir makine.;1
güzel bir ürün alacaklara hayırlı olsun;1
hızlı Kargo Kaliteli Ürün ??;1
Zamanında geldi iyi paketlenmiş beğendim;1
dişleriyle cok iyi kesmiyor ama cihaz şirin;0
illi izlenim harika kaçırmayın;1
sakal için kesinlikle harika bir makine;1
gayet güzel ve kullanışlı;1
Ürün fiyatı göründüğü gibi hemde uygun kaliteli;1
çok iyi beklediğimden iyi çıktı ????;1
süper bi ürün tavsiye ederim;1
muhteşem ürün cabuk geldi;1
dişleriyle cok iyi kesmiyor ama cihaz şirin;0
Bugün de hemen traş oldum harika ??;1
Geç oldu ama güzel oldu;1
ürün gerçekten güzel tavsiye ederim.;1
Teşekkür ederim. Ürün beklediğimden erken geldi.;1
ürün çok iyi alan pişman olmaz;1
fiyat performans olarak çok başarılı. beklediğimden daha kaliteli çıktı açıkçası;1
Traş makinesini beğendim.;1
cok memnun kaldım ????;1
gerçekten çok güzel;1
harika bir ürün;1
Güzel ürün;1
Hem fiyatı uygun, hemde kaliteli ürünlerle yarışır, teşekkürler;1
uygun fiyata çok iyi kalite gayet iyi gönderildi teşekkürler;1
Ürün güzel kullanışlı;1
Ürün iyi sakal trasşı olmak için ideal saç kesmez;0
Ürün gayet iyi,fiyatına göre muazzam;1
fiyat performans bir ürün tavsiye ederim.;1
gayet güzel;1
ürün gayet iyi;1
Güzel ürün;1
Baya is görüyor.;1
harika güzel;1
Görüntü olarak çok iyi ama 10 dakika çalıştıktan sonra aşırı ısınma var bu da ciltte yaralara ve aşırı kızarmaya sebep oluyor;0
başarılı fiyatına göre gayet işimi görüyor;1
Fiyata göre çok uygun tavsiye ediyorum kullanışlı;1
Ürün fiyatına göre çok güzel;1
kaliteli ve şık fiyat olarakta uygun tavsiye ederim.;1
ürün güzel kesiyor ama kistirma yaptığı için çok beğenmedim umduğum gibi bulamadim ama parasına göre idare eder;0
fiyatına göre süper ??????????????;1
Fiyatına göre gayet iyi ??;1
fiyatına göre gayet başarılı bir ürün;1
fiyatına göre gayet iyi tavsiye ederim;1
idare eder;2
Çok güzel kullanışlı;1
Ürün gayet şık, ve kibar, ele alıp çalıştırıldığında kalitesini belli ediyo, fiyatının kalite olarak çok üstünde ??????;1
fiyatına göre gayet iyi;1
ürün on numara gerçekten sakal için aldım saçlarımı dahi kesti mükemmel bı makine;1
Yanlış ürün gönderdildi ben 658 istemiştim 258 geldi .;0
Küçük ama çok kullanışlı tavsiye ederim;1
Harika kaliteli ürün.;1
Kalite 10 numara gerçekten kesimde güzel;1
gayet güzel tavsiye ederim;1
fiyat uygun ve cihaz güzel tavsiye ederim;1
Kullanışlı ve kaliteli bir ürün;1
ürün kaliteli tavsiye ederim kargo hızlı;1
Olduğu gibi gayet kullanışlı;1
kaliteli urun;1
gayet şık, kompakt, güçlü. şarjı da efsane...;1
çok kullanıllı ve güzel;1
Beklenildiği gibi geldi;1
Müthiş güvenle alabilirsiniz;1
Müthiş güvenle alabilirsiniz;1
herşey anlatıldığı gibi;1
Kardeşime aldım çok beğendi.;1
Güzel ürün her zaman kullanıyorum;1
her zamanki gibi yine güzel;1
on numara ürün çok ama çok beğendim;1
Ürün istediğim gibi kaliteli ve güzel;1
Güzel piyasadaki çoğu üründen daha kaliteli f/p;1
beklediğim gibiydi...;1
On numara tavsiye ederim.;1
Efsane ürün wahl detailer ile kapışır ??;1
????????????????????;1
Ürün güzelllll;1
güzellllll;1
çok çok beyendım;1
Çok kullanişli;1
çok güzel tavsiye ederim;1
sinek kaydı beklemeyin;0
Kardeşim için aldık güzel baya;1
efsane bi ürün;1
sakal için 10 numara;1
Çok memnunum;1
Çok kullanışlı.;1
harikaaaaa;1
Çok beğendik;1
Süper süper süper;1
????????????????????????;1
Süper ürün;1
10 numara ürün;1
superr ötesi;1
Çok beğendik;1
Gayet mennun kaldım;1
güzel ..........;1
??????????????????????;1
10 numara 5 yıldız;1
güzel,cildi ısıtmıyor.sesi az;1
Çok beğendim;1
Çok başarılı;1
????????????????????????????;1
Mühteşem ...;1
Çok güzel;1
güzel makina;1
cok kaliteli;1
Guzel makina;1
mukenmmeelll;1
Süper birr ürün;1
cok beğendim;1
beklemediğimizden güzel ürün;1
super ürün;1
beklediğim gibi;1
güzel çok ee;1
hem kaliteli hemde güzel ürün;1
FATURAM GELMEDİ;0
Çok kaliteli;1
Çok kaliteli;1
çok kaliteli;1
ürün çok güzel ve kalitileli almak isteyenlere tavsiye ederim arkadaşlar;1
Güzel makina;1
10 numara 5 yıldız;1
fiyat performans olarak iyi;1
çok kaliteli;1
fiyat performans iş görur;1
Ürün performansı çok güzel, cihaz şık ve ergonomik. Şarj göstergesi var tarakları yetersiz. Ayrı bir parantez satıcı ve kargoya açıyorum satıcı çok ilgisiz, kargo çok geç geliyor bunları bilmenizde fayda var yıldızı parantez açtığım konu için kırdım.;2
fiyatına göre çok iyi;1
urun sakal icin super bugune kadr en begendgim makine diyebilirim hic cekme yapmadan tahris etmeden kesiyor ama sac icin kisa sac kesenler tercih etsin cunku dislikler ufak tesekkurler.;0
sadece sakal için olduğu belli, bekledigimden Kucuk ama cok kaliteli makine. tam sakal icin bire bir;1
mükemmelll;1
ürün çok güzel teşekürler trendyol ??;1
Güzel ve kullanışlı bir ürün.;1
Cok şık bi makina gerçekten ??;1
ürün elime 10 günden daha üzen sürede ulaştı, şarj süresi çok iyi vücut kıllarını çok temiz alıyor ama sakallarına şekil vermek isteyenler için tarakları çok ince 3 numara bile diğer makinelerin 1 numarası gibi kesiyor.;2
Güzel ürün gönül rahatlığıyla alabilirsiniz. Benim için tek sıkıntısı 3 taraklı olması ama olsun onun haricinde güzel makine.;1
Eşime aldık, çok memnun, kaldı. Bayağı kaliteli ve sağlam. Yalnız saç kesmek için, burun ve kulak için aparatı yok. Tek eksi yanı bu.;2
iki adet aldım ilki canavar gibi keskindi birisi de normal keskinlikteydi fazla para vermeyin amaca hizmet eden güzel bir ürün;1
Dün kargodan aldım ve kullandım. Gerçekten süper müthiş bir makina. Yalnız saç değil sakal için. Sıfıra yakın sakalı alıyor. Teşekkür ediyorum.;1
Süper urun;1
ürün güzel tavsiye ederim;1
Fiyat performans ürünü;1
Muhteşem 85 liraya kuponla geldi hergün traş olan için bulunmaz nimet;1
Çok güzel Ürün. Bildiğim marka.;1
harika bir ürün tavsiye ederim.;1
urun çok kullanışlı. 4 aydır falan kullanıyorum. piyasadaki pahalı markalar ile yarışacak düzeyde bir makine. duruşu rengi kaliteli. şarj kablosu falan da iyi. sarjida hafta da iki üç gün olamama göre 1 ay gidiyor. alacaklar için sıfır şekilde almıyor yani jilet gibi almasını beklemeyin. Benim çok işime yarıyor alacaklara tavsiye ederim;1
Arkadaşlar yorumlara bakıp bu makineyi aldım eminim sizlerde bakıcaksınızdır ödediğiniz parayı fazlasıyla hak eden bir makine kesim olarak kesinlikle harika hele de sakal traşı olmak istiyenler gerçekten efsane isler çıkartıyor kesinlikle su cihazı aldıktan sonra kuaföre gitmenize gerek bile kalmaz ense trası sık sakal trası oluyorsanız kesinlikle tavsiye ediyorum her kuruşu sonuna kadar hakediyor;1
Harika tavsiye ederim;1
Bundan iyisi olamaz. Hem uygun hem kaliteli. Teşekkürler.;1
eşim kullanıyor sırf adı var diye dünyanın parasını markalara dökmenize gerek yok çok memnun eşim.;1
fiyatına göre iyi;1
sakalda çekme yapıyor;0
düz tras için ideal....;1
11 aralıkta sipariş ettim çabucak geldi saç tıraşı da oldum şahane bir makina;1
Ürün sakal ense ve yanlar için ideal. Guzel kesiyor sıfıra yakın alıyor. Başlıklar en büyüğü 1 numaraya denk. Kargolama işlemi gecikti ama olsun memnun kaldım.;1
İkincisini aldım çok memnunum;1
güzel beğendik;1
fiyat performans iş görur;1
ürün gayet güzel;1
Dün kargodan aldım ve kullandım. Gerçekten süper müthiş bir makina. Yalnız saç değil sakal için. Sıfıra yakın sakalı alıyor. Teşekkür ediyorum.;1
Güzel ürün gönül rahatlığıyla alabilirsiniz. Benim için tek sıkıntısı 3 taraklı olması ama olsun onun haricinde güzel makine.;1
ürün elime 10 günden daha üzen sürede ulaştı, şarj süresi çok iyi vücut kıllarını çok temiz alıyor ama sakallarına şekil vermek isteyenler için tarakları çok ince 3 numara bile diğer makinelerin 1 numarası gibi kesiyor.;2
Ürün performansı çok güzel, cihaz şık ve ergonomik. Şarj göstergesi var tarakları yetersiz. Ayrı bir parantez satıcı ve kargoya açıyorum satıcı çok ilgisiz, kargo çok geç geliyor bunları bilmenizde fayda var yıldızı parantez açtığım konu için kırdım.;2
fiyatına göre çok iyi;1
Muhteşem 85 liraya kuponla geldi hergün traş olan için bulunmaz nimet;1
Güzel ve kullanışlı bir ürün.;1
Çok iyi diyemem ama fiyatına göre normal;2
bu fiyata çok iyi kutu eksiksiz düşünmeden alın;1
Cok şık bi makina gerçekten ??;1
Fiyat performans ürünü;1
urun sakal icin super bugune kadr en begendgim makine diyebilirim hic cekme yapmadan tahris etmeden kesiyor ama sac icin kisa sac kesenler tercih etsin cunku dislikler ufak tesekkurler.;2
Çok güzel pratik ve iş görür çok begendik;1
ürün gayet güzel berberlerin kullandıkları zaten tek sorun kargoya geç verilmis olması;2
ense ve sakal kullanımı için ideal, vücut için uygun değil, fazla kesiyor.;2
sadece sakal için olduğu belli, bekledigimden Kucuk ama cok kaliteli makine. tam sakal icin bire bir;1
düz tras için ideal....;1
mükemmelll;1
iki adet aldım ilki canavar gibi keskindi birisi de normal keskinlikteydi fazla para vermeyin amaca hizmet eden güzel bir ürün;1
Süper urun;1
ürün güzel tavsiye ederim;1
urun çok kullanışlı. 4 aydır falan kullanıyorum. piyasadaki pahalı markalar ile yarışacak düzeyde bir makine. duruşu rengi kaliteli. şarj kablosu falan da iyi. sarjida hafta da iki üç gün olamama göre 1 ay gidiyor. alacaklar için sıfır şekilde almıyor yani jilet gibi almasını beklemeyin. Benim çok işime yarıyor alacaklara tavsiye ederim;1
Çok güzel kesiyor, fiyat-performans ürünü.;1
ürün çok güzel teşekürler trendyol ??;1
Gayet yeterli bir cihaz daha fazlası beklenemez.;1
11 aralıkta sipariş ettim çabucak geldi saç tıraşı da oldum şahane bir makina;1
ürün kalitesi bence tartışılmaz , küçük zaten elinize rahatlıkla duruyor diğer tıraş makineleri gibi büyük ve kaba değil Tek sorun kargonun çok geç gelmesi onun dışında hiç bir sorun yok gönül rahatlığıyla alabilirsiniz ...;1
tek kelime ile süper;1
Çok güzel pratik ve iş görür çok begendik;1
ürün gayet güzel berberlerin kullandıkları zaten tek sorun kargoya geç verilmis olması;2
ense ve sakal kullanımı için ideal, vücut için uygun değil, fazla kesiyor.;0
Ürünün kalite açısından olumsuz bir yanı yok.Ben hediye olarak almıştım fakat eşim saç için çok uygun olmadığını söyledi bu yüzden iade edeceğiz.Aparatlar saçı çok kısaltacak türdenmiş.Almayı düşünenler ona göre karar verebilir.;0
alınabilir güzel;1
kardeşim için almıştım memnun olduğunu iletti;1
ürün gayet güzel;1
sıfıra yakın kesiyor babama aldım çok beğendi;1
Mükemmel düşünmeden alın derim;1
ürün elimize çok kısa sürede geldi henüz kullanmadık fakat memnun kalacağımızı düşünüyorum mağazaya da teşekkürler;1
sıfıra yakın kesiyor nerdeyse sakalı, şu anda bir sıkıntı yok ,hem telefon şarşıylada doluyor,biraz küçük daha evel moser vardı belki onun yanında öğle durdu;1
Hızlı ve güzel kargo paketlenmesi de gayet iyi öncelikle ürün sakal ense sıfır kesme için mükemmel zaten bunun için alın saç için uygun değil.;2
Küçük ama güçlü bir cihaz. özellikle sakal ve ense tıraşında çok iyi. Çok çabukta elime ulaştı.;1
kargo hızlı geldi makine oldukça güçlü şarj süresi gayet uzun sakal kısaltma ve sıfır sakal için süper;1
gayet iyi bi ürün ama saç için kullanacak iseniz tavsiye etmem sakal konusunda gayet başarılı;1
küçük kullanışlı umarım çabuk bozulmaz. Çin malı sonuçta kalite algısı düşük;2
tavsiye ederim;1
Nişan bohçası için aldık. Daha fazla para vermeye gerek yok gerçekten güzel nişanlım sürekli kullanıyor.;1
Çok kullanışlı bir ürün eşim çok beğendi.;1
Berberin Tavsiyesiyle aldım çok güzel ??;1
Gec kargo makine bicaklari bozuktu tahris etti kanatti;0
Göründüğü gibi geldi;1
Beklediğimin çok üstünde. Yıllardır makine ile olurdum. Eski cihazım bundan kat kat fazla para ya aldım. Bunu denemek için aldım. Eskisinden çok daha iyi alıyor. Sakalı çekmiyor. Koparmıyor. Harkulade;1
hiçbir sıkıntısı yok teşekkürler 10 numara makine;1
berber tavsiyesi ile aldık şimdilik bir sorun yok kullanışlı;1
Ürünü kullanırken aşırı derecede ısınma oluyor ve yüzümü rahatsız ediyor;0
Cok guzel memnun kaldim;1
Gec kargo makine bicaklari bozuktu tahris etti kanatti;0
Ürünü kullanırken aşırı derecede ısınma oluyor ve yüzümü rahatsız ediyor;0
Çok kullanışlı bir ürün eşim çok beğendi.;1
ürün elimize çok kısa sürede geldi henüz kullanmadık fakat memnun kalacağımızı düşünüyorum mağazaya da teşekkürler;1
berber tavsiyesi ile aldık şimdilik bir sorun yok kullanışlı;1
gayet iyi tavsiye;1
Fiyatına göre çok başarılı bir ürün. Kargolamasıda hızlı.tavsiye ederim;1
Küçük ama güçlü bir cihaz. özellikle sakal ve ense tıraşında çok iyi. Çok çabukta elime ulaştı.;1
Berberin Tavsiyesiyle aldım çok güzel ??;1
gayet iyi bi ürün ama saç için kullanacak iseniz tavsiye etmem sakal konusunda gayet başarılı;1
kargo hızlı geldi makine oldukça güçlü şarj süresi gayet uzun sakal kısaltma ve sıfır sakal için süper;1
Güzel ürün , sakal için almıştım , çok memnunum;1
sıfıra yakın kesiyor babama aldım çok beğendi;1
Mükemmel düşünmeden alın derim;1
Güzel ve kullanışlı;1
Hızlı ve güzel kargo paketlenmesi de gayet iyi öncelikle ürün sakal ense sıfır kesme için mükemmel zaten bunun için alın saç için uygun değil.;1
Nişan bohçası için aldık. Daha fazla para vermeye gerek yok gerçekten güzel nişanlım sürekli kullanıyor.;1
Beklediğimin çok üstünde. Yıllardır makine ile olurdum. Eski cihazım bundan kat kat fazla para ya aldım. Bunu denemek için aldım. Eskisinden çok daha iyi alıyor. Sakalı çekmiyor. Koparmıyor. Harkulade;1
tavsiye ederim;1
küçük kullanışlı umarım çabuk bozulmaz. Çin malı sonuçta kalite algısı düşük;2
Göründüğü gibi geldi;1
Ürün çok iyi;1
Tam sıfır almaktadır. İstediğim gibi;1
Kirli sakal için. Ortalama bir ürün.;0
Çok güzel ürün sıfır güzel paketlenmiş şekilde geldi teşekkürler;1
Fiyatına göre başarılı bir ürün;1
Gayet sağlam ve vaktinde geldi tavsiye ederim ????;1
Tıraş taraklarını az buldu babam onun dışında çok memnunuz:);2
kargo hızlıydı ürün mükemmel gitmiş olduğum berber bu markayı kullanıyordu performansı süper;1
Hem fiyatı çok uygun hemde makine tam istediğim gibi tavsiye ederim;1
Daha önce kullandığım bir ürün çok memnun kaldım bu yüzden tekrar aldım ve kargo da dahil olmak üzere tam zamanında geldi.;1
